Nr		,t`s,Ch 00`V,Ch 01`V,Ch 02`V
356		,0.177500,-0.007238,0.208677,0.000036
357		,0.178000,-0.005627,0.208435,0.000036
358		,0.178500,-0.004983,0.207196,0.000004
359		,0.179000,-0.004017,0.205618,-0.000189
360		,0.179500,-0.002568,0.203525,-0.000092
361		,0.180000,-0.000796,0.201464,-0.000446
362		,0.180500,-0.001601,0.197858,-0.000060
363		,0.181000,-0.002729,0.197632,0.000069
364		,0.181500,-0.003534,0.197793,-0.000221
365		,0.182000,-0.004983,0.198566,-0.000028
366		,0.182500,-0.005949,0.199339,-0.000189
367		,0.183000,-0.006755,0.200627,-0.000189
368		,0.183500,-0.007882,0.202366,-0.000221
369		,0.184000,-0.008365,0.204201,-0.000028
370		,0.184500,-0.008204,0.205537,0.000004
371		,0.185000,-0.008526,0.206825,-0.000092
372		,0.185500,-0.009331,0.207646,-0.000382
373		,0.186000,-0.008848,0.209128,-0.000189
374		,0.186500,-0.007882,0.209047,-0.000092
375		,0.187000,-0.007399,0.209788,-0.000157
376		,0.187500,-0.006271,0.209594,-0.000640
377		,0.188000,-0.005144,0.209111,-0.000253
378		,0.188500,-0.003212,0.207389,-0.000189
379		,0.189000,-0.003051,0.205956,-0.000189
380		,0.189500,-0.001279,0.204104,-0.000253
381		,0.190000,-0.000474,0.201528,-0.000221
382		,0.190500,0.000975,0.200997,-0.000286
383		,0.191000,-0.001440,0.199162,-0.000189
384		,0.191500,-0.004017,0.199130,-0.000221
385		,0.192000,-0.004339,0.199468,-0.000221
386		,0.192500,-0.005627,0.200595,-0.000125
387		,0.193000,-0.006593,0.201738,-0.000092
388		,0.193500,-0.007721,0.202688,0.000036
389		,0.194000,-0.007077,0.204410,0.000101
390		,0.194500,-0.007560,0.205521,0.000165
391		,0.195000,-0.007077,0.206825,-0.000028
392		,0.195500,-0.008365,0.207469,-0.000253
393		,0.196000,-0.008043,0.208371,-0.000253
394		,0.196500,-0.008043,0.209417,-0.000028
395		,0.197000,-0.006916,0.209289,0.000004
396		,0.197500,-0.006916,0.209321,-0.000060
397		,0.198000,-0.005788,0.208612,-0.000253
398		,0.198500,-0.004661,0.207598,-0.000092
399		,0.199000,-0.003051,0.205666,0.000004
400		,0.199500,-0.001923,0.203637,-0.000028
401		,0.200000,-0.000635,0.201255,0.000036
402		,0.200500,-0.002084,0.198469,-0.000060
403		,0.201000,-0.002729,0.198019,-0.000125
404		,0.201500,-0.003534,0.197890,-0.000060
405		,0.202000,-0.004822,0.198244,-0.000189
406		,0.202500,-0.005949,0.199468,-0.000221
407		,0.203000,-0.006432,0.200997,-0.000253
408		,0.203500,-0.007882,0.202559,-0.000221
409		,0.204000,-0.008365,0.203943,-0.000092
410		,0.204500,-0.009492,0.205553,-0.000125
411		,0.205000,-0.009170,0.206696,-0.000157
412		,0.205500,-0.008204,0.207614,-0.000253
413		,0.206000,-0.008526,0.208628,-0.000253
414		,0.206500,-0.008204,0.209289,-0.000028
415		,0.207000,-0.007238,0.209482,0.000036
416		,0.207500,-0.005305,0.209530,-0.000060
417		,0.208000,-0.004500,0.208725,-0.000286
418		,0.208500,-0.003534,0.207518,-0.000221
419		,0.209000,-0.002568,0.205859,-0.000060
420		,0.209500,-0.001762,0.204072,-0.000125
421		,0.210000,-0.000957,0.201464,-0.000189
422		,0.210500,0.000653,0.199854,-0.000221
423		,0.211000,-0.001762,0.199001,-0.000221
424		,0.211500,-0.003373,0.198969,-0.000157
425		,0.212000,-0.004339,0.199564,-0.000125
426		,0.212500,-0.006110,0.200450,0.000036
427		,0.213000,-0.006432,0.201689,0.000133
428		,0.213500,-0.007238,0.203042,-0.000092
429		,0.214000,-0.007721,0.204298,0.000036
430		,0.214500,-0.008043,0.205392,0.000165
431		,0.215000,-0.008204,0.206455,-0.000318
432		,0.215500,-0.007721,0.207308,-0.000125
433		,0.216000,-0.007077,0.208178,-0.000189
434		,0.216500,-0.007399,0.209079,-0.000092
435		,0.217000,-0.007560,0.209385,0.000004
436		,0.217500,-0.007077,0.208838,-0.000092
437		,0.218000,-0.005466,0.208451,-0.000028
438		,0.218500,-0.004500,0.207260,-0.000060
439		,0.219000,-0.003534,0.205505,0.000133
440		,0.219500,-0.002407,0.203396,-0.000028
441		,0.220000,-0.000635,0.201319,0.000262
442		,0.220500,-0.001762,0.198775,-0.000125
443		,0.221000,-0.002246,0.197858,-0.000253
444		,0.221500,-0.003373,0.197600,-0.000253
445		,0.222000,-0.004983,0.198373,-0.000028
446		,0.222500,-0.005949,0.199307,-0.000125
447		,0.223000,-0.007399,0.200740,-0.000157
448		,0.223500,-0.007882,0.202478,-0.000414
449		,0.224000,-0.008687,0.204217,0.000004
450		,0.224500,-0.007882,0.205569,-0.000125
451		,0.225000,-0.009009,0.206745,0.000004
452		,0.225500,-0.008687,0.207807,-0.000092
453		,0.226000,-0.009009,0.208999,-0.000221
454		,0.226500,-0.007721,0.209160,-0.000286
455		,0.227000,-0.007721,0.209643,-0.000189
456		,0.227500,-0.006110,0.209514,-0.000060
457		,0.228000,-0.004822,0.209079,-0.000157
458		,0.228500,-0.003051,0.207775,-0.000157
459		,0.229000,-0.002729,0.205875,-0.000286
460		,0.229500,-0.001601,0.203670,-0.000125
461		,0.230000,-0.000313,0.201528,-0.000125
462		,0.230500,-0.000796,0.199677,-0.000253
463		,0.231000,-0.002407,0.199162,-0.000125
464		,0.231500,-0.004017,0.199162,-0.000157
465		,0.232000,-0.004500,0.199725,-0.000253
