Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V
510		,0.127250,-1.685225,0.267328,-0.001118
511		,0.127500,-1.659942,0.266684,-0.000313
512		,0.127750,-1.635948,0.267811,-0.000474
513		,0.128000,-1.614369,0.267650,-0.000313
514		,0.128250,-1.594401,0.267811,-0.000474
515		,0.128500,-1.565414,0.267972,-0.000474
516		,0.128750,-1.532724,0.268294,-0.000474
517		,0.129000,-1.475718,0.268294,-0.000474
518		,0.129250,-1.375071,0.268294,-0.000474
519		,0.129500,-1.260092,0.268456,-0.000474
520		,0.129750,-1.143502,0.268294,-0.000796
521		,0.130000,-1.025142,0.267811,-0.000313
522		,0.130250,-0.902916,0.267972,-0.000313
523		,0.130500,-0.789708,0.267650,-0.000313
524		,0.130750,-0.680204,0.267650,-0.000474
525		,0.131000,-0.556851,0.267167,-0.000313
526		,0.131250,-0.427218,0.266845,-0.000474
527		,0.131500,-0.282769,0.266362,-0.000474
528		,0.131750,-0.102088,0.266523,-0.000152
529		,0.132000,0.109030,0.266684,-0.000313
530		,0.132250,0.297764,0.266845,-0.000474
531		,0.132500,0.456707,0.266523,-0.000474
532		,0.132750,0.603894,0.265879,-0.000474
533		,0.133000,0.740614,0.265235,-0.000313
534		,0.133250,0.855594,0.265235,-0.000313
535		,0.133500,0.975244,0.265235,-0.000152
536		,0.133750,1.109388,0.264913,-0.000796
537		,0.134000,1.233065,0.264591,-0.000152
538		,0.134250,1.352554,0.263785,-0.000635
539		,0.134500,1.469146,0.264108,-0.000796
540		,0.134750,1.569633,0.264269,-0.000635
541		,0.135000,1.619394,0.264108,-0.000796
542		,0.135250,1.638558,0.263785,-0.000635
543		,0.135500,1.653856,0.262658,-0.000313
544		,0.135750,1.657721,0.263785,-0.000474
545		,0.136000,1.659654,0.263624,-0.000474
546		,0.136250,1.665451,0.263624,-0.000474
547		,0.136500,1.679784,0.263463,-0.000313
548		,0.136750,1.683165,0.262819,-0.000474
549		,0.137000,1.677368,0.263463,-0.000313
550		,0.137250,1.666901,0.263947,-0.000474
551		,0.137500,1.640812,0.263624,-0.000474
552		,0.137750,1.616818,0.263463,-0.000635
553		,0.138000,1.595239,0.263463,-0.000474
554		,0.138250,1.575109,0.263302,-0.000474
555		,0.138500,1.546122,0.263463,-0.000313
556		,0.138750,1.511660,0.263463,-0.000474
557		,0.139000,1.451271,0.263302,-0.000635
558		,0.139250,1.349656,0.263785,-0.000474
559		,0.139500,1.234031,0.263141,-0.000474
560		,0.139750,1.118406,0.262819,-0.000796
561		,0.140000,0.999239,0.262819,-0.000313
562		,0.140250,0.876851,0.262658,-0.000474
563		,0.140500,0.764930,0.262658,-0.000635
564		,0.140750,0.653654,0.262819,-0.000474
565		,0.141000,0.529495,0.262658,-0.000474
