Nr,t`s,Ch 00`V,Ch 01`V,Ch 02`V
345		,0.172000,-2.953060,0.000519,0.339150
346		,0.172500,-3.231493,0.000133,0.339150
347		,0.173000,-3.476269,0.000455,0.339472
348		,0.173500,-3.638112,0.000262,0.339794
349		,0.174000,-3.725556,0.000358,0.340600
350		,0.174500,-3.631510,0.000358,0.341727
351		,0.175000,-3.427314,0.000069,0.342049
352		,0.175500,-3.140668,-0.000189,0.341888
353		,0.176000,-2.854183,-0.000382,0.341727
354		,0.176500,-2.503607,-0.000382,0.341888
355		,0.177000,-2.037248,-0.000286,0.341888
356		,0.177500,-1.478616,-0.000479,0.341566
357		,0.178000,-0.875057,-0.000768,0.341888
358		,0.178500,-0.281803,-0.000672,0.341888
359		,0.179000,0.265879,-0.000640,0.342210
360		,0.179500,0.804062,-0.000575,0.342693
361		,0.180000,1.300378,-0.000865,0.343337
362		,0.180500,1.851773,-0.000736,0.343498
363		,0.181000,2.292377,-0.000897,0.345270
364		,0.181500,2.652463,-0.000994,0.346075
365		,0.182000,2.940567,-0.001026,0.346558
366		,0.182500,3.210313,-0.000865,0.347363
367		,0.183000,3.457354,-0.000286,0.347524
368		,0.183500,3.608252,-0.000640,0.347202
369		,0.184000,3.670093,-0.000736,0.347041
370		,0.184500,3.546733,-0.000382,0.346558
371		,0.185000,3.310321,-0.000543,0.346558
372		,0.185500,3.030589,-0.000286,0.345914
373		,0.186000,2.734272,0.000069,0.346719
374		,0.186500,2.383042,-0.000125,0.346719
375		,0.187000,1.910230,-0.000092,0.346880
376		,0.187500,1.341443,0.000391,0.346880
377		,0.188000,0.749954,0.000551,0.347524
378		,0.188500,0.157502,0.000519,0.347202
379		,0.189000,-0.365541,0.000133,0.347685
380		,0.189500,-0.912900,0.000391,0.348168
381		,0.190000,-1.400353,0.000712,0.348490
382		,0.190500,-1.938211,0.000841,0.348812
383		,0.191000,-2.361091,0.000680,0.348812
384		,0.191500,-2.686544,0.000519,0.349296
385		,0.192000,-2.971901,0.000648,0.349296
386		,0.192500,-3.232620,0.000519,0.349457
387		,0.193000,-3.471599,0.000487,0.349779
388		,0.193500,-3.621847,0.000455,0.349779
389		,0.194000,-3.650190,0.000230,0.350423
390		,0.194500,-3.505739,0.000294,0.351067
391		,0.195000,-3.240994,0.000294,0.351872
392		,0.195500,-2.970935,-0.000092,0.352999
393		,0.196000,-2.668186,-0.000253,0.353160
394		,0.196500,-2.312458,-0.000479,0.353482
395		,0.197000,-1.834987,-0.000479,0.353966
396		,0.197500,-1.249625,-0.000543,0.353160
397		,0.198000,-0.677950,-0.000318,0.352677
398		,0.198500,-0.089849,-0.000672,0.351550
399		,0.199000,0.429814,-0.000865,0.351711
400		,0.199500,0.958335,-0.000962,0.350584
401		,0.200000,1.446762,-0.000865,0.349940
402		,0.200500,1.958703,-0.000929,0.349457
403		,0.201000,2.372414,-0.000865,0.348973
404		,0.201500,2.662770,-0.000801,0.348812
405		,0.202000,2.950068,-0.000929,0.348973
406		,0.202500,3.206448,-0.000672,0.349296
407		,0.203000,3.433197,-0.000736,0.349779
408		,0.203500,3.575721,-0.000607,0.350584
409		,0.204000,3.561710,-0.000640,0.350906
410		,0.204500,3.401310,-0.000350,0.351067
411		,0.205000,3.129469,-0.000253,0.350262
412		,0.205500,2.856664,-0.000092,0.350101
413		,0.206000,2.557127,-0.000092,0.350423
414		,0.206500,2.188345,-0.000060,0.349618
415		,0.207000,1.712152,0.000326,0.349457
416		,0.207500,1.117601,0.000648,0.349135
417		,0.208000,0.557354,0.000455,0.348651
418		,0.208500,-0.019637,0.000358,0.348007
419		,0.209000,-0.544613,0.000519,0.347524
420		,0.209500,-1.058154,0.000391,0.347524
421		,0.210000,-1.547701,0.000551,0.347846
422		,0.210500,-2.030646,0.000680,0.348329
423		,0.211000,-2.421801,0.000584,0.348490
424		,0.211500,-2.697173,0.000551,0.348651
425		,0.212000,-2.976088,0.000423,0.348651
426		,0.212500,-3.232137,0.000423,0.348490
427		,0.213000,-3.449537,0.000519,0.347846
428		,0.213500,-3.577723,0.000358,0.347363
429		,0.214000,-3.531344,0.000197,0.346880
430		,0.214500,-3.342447,0.000165,0.346719
431		,0.215000,-3.072066,-0.000060,0.346558
432		,0.215500,-2.790735,-0.000318,0.346719
433		,0.216000,-2.489758,-0.000318,0.345753
434		,0.216500,-2.113096,-0.000607,0.345109
435		,0.217000,-1.624997,-0.000704,0.344948
436		,0.217500,-1.036897,-0.000607,0.345109
437		,0.218000,-0.484708,-0.000672,0.344787
438		,0.218500,0.077628,-0.000994,0.344303
439		,0.219000,0.593587,-0.000768,0.344626
440		,0.219500,1.107133,-0.001187,0.344303
441		,0.220000,1.586704,-0.000962,0.344142
442		,0.220500,2.053394,-0.000929,0.343820
443		,0.221000,2.407842,-0.000479,0.343337
444		,0.221500,2.679679,-0.000736,0.342693
